reading_date,week_id,sort_order,meter_id,b_code,floor,subb_code,building_name,raw_reading,raw_unit,reader,note
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,92,T.0020__FL01__AP21,T.0020,FL01,AP21,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องปรับอากาศ 1,24181.48,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,93,T.0020__FL02__SCB_22,T.0020,FL02,SCB 22,ท.0020 ชั้นที่ 2,127192.51,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,94,T.0020__FL01__LP22,T.0020,FL01,LP22,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบแสงสว่าง 2,0.64,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,95,T.0020__FL01__PP22,T.0020,FL01,PP22,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องใช้ไฟฟ้า 2,2.55,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,96,T.0020__FL01__AP22,T.0020,FL01,AP22,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องปรับอากาศ 2,29.79,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,97,T.0020__FL03__SCB_23,T.0020,FL03,SCB 23,ท.0020 ชั้นที่ 3,96310.88,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,98,T.0020__FL01__LP23,T.0020,FL01,LP23,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบแสงสว่าง 3,0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,99,T.0020__FL01__PP23,T.0020,FL01,PP23,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องใช้ไฟฟ้า 3,35.67,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,100,T.0020__FL01__AP23,T.0020,FL01,AP23,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องปรับอากาศ 3,46.97,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,101,T.0020__FL03__PPAC_3,T.0020,FL03,PPAC 3,ท.0020 แอร์รวม,0,kWh,,
