department,allocation_ratio,building_name,thai_code,b_code_hint,floor_hint,source_row
อรอ.,1.0,ท.0008 อาคาร บริหารอะไหล่กังหันก๊าซ2 อรอ.,ท.0008,T.0008,,118
อรอ.,1.0,ท.0010 อาคาร ทดสอบเครื่องกล อรอ.,ท.0010,T.0010,,119
อสร.,1.0,ต.0015 อาคารโรงซ่อมเครื่องกล อสร.,ต.0015,D.0015,,121
อสร.,1.0,ท.0025 อาคารเก็บอุปกรณ์ อสร.,ท.0025,T.0025,,122
อหข.,1.0,ท.0026 อาคารบริหารการขนส่ง,ท.0026,T.0026,,124
อหข.,1.0,ท.0027 อาคารปฏิบัติการกองขนส่ง,ท.0027,T.0027,,125
อหข.,1.0,ท.0028 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 1,ท.0028,T.0028,,126
อหข.,1.0,ท.0029 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 2,ท.0029,T.0029,,127
อหข.,1.0,ต.0031 อาคารโรงอาหาร,ต.0031,D.0031,,128
อหข.,0.0,ต.0031 ร้านข้าวแกงคุณเพ็ญศรี,ต.0031,D.0031,,129
อหข.,1.0,ต.0033 อาคารปฏิบัติการงานเชื่อม,ต.0033,D.0033,,130
